legacy_id,factoid,old_category,final_category,old_support,final_support,final_eligibility,action,changed_dimensions,final_label_source
1,Trinity Church was the first tallest building in New York.,Cat5,Cat5,UNSUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,SUPPORT,THIRD_PERSON_ADJUDICATION
2,4,Cat6,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
3,"The first initials ""C.B."" are from the words Construction Battalion.",Cat1,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
4,The year is 1922.,Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
5,Eve is a 19-year-old werewolf hunter.,Cat6,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
6,"""I Want to Know What Love Is"" was not in the Agent Provocateur album.",Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
7,The Medal of Honor is awarded for acts of valor above and beyond the call of duty.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
8,The West Lancashire Evening Gazette is a multi-objective ecosystem advertiser.,Cat1,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
9,Apple TV is not a television set.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
10,Abraham Bankier was one of the owners of the Rekord factory.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
11,"The song ""I Can't Let Maggie Go"" was released in early 1968.",Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
12,The Carnegie Library in Wichita was built in 1915.,Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
13,"The male singer and the female singer in the duet ""Anything You Can Do (I Can Do Better)"" attempt to outdo each other.",Cat5,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
14,1 year,Cat6,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
15,WSU consists of 13 schools and colleges.,Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
16,State Route 126 connects Lewiston and Camden.,Cat7,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
