id,question,context,factoid,annotator_A_atomicity,annotator_A_question_relevance,annotator_A_category,annotator_A_context_support,annotator_A_evidence_clarity,annotator_B_atomicity,annotator_B_question_relevance,annotator_B_category,annotator_B_context_support,annotator_B_evidence_clarity,adjudicator__atomicity,adjudicator__question_relevance,adjudicator_final_category,adjudicator_context_support,adjudicator_evidence_clarity
REP_0013,What are the 2 parks at euro disney?,"Euro Disney S.C.A. Euro Disney S.C.A. is a wholly owned subsidiary of The Walt Disney Company responsible for Disneyland Paris in Marne-la-Vallée, France. Disneyland Paris comprises Disneyland Park, Walt Disney Studios Park, Disney Village, and seven on-site Disney Hotels. Val d'Europe is a new residential and shopping development. Another seven hotels/residences have been built not far from the two Disney theme parks on land held under Euro Disney SCA's lease, including properties from companies such as Holiday Inn, Kyriad, MyTravel and Radisson Hotels. The Resort is a result of an agreement signed on 24 March 1987 between The Walt Disney

new lake, which will be the focal point for entertainment experiences and will also connect each of the new park areas. The first phase of the expansion will be completed in 2021. Disneyland Paris encompasses and contains 2 theme parks, 7 resort hotels, 7 associated hotels, a golf course, railway station, a large outlet centre (la vallée village), and a large shopping mall: Val d'Europe. According to the Disneyland Paris website the theme park's top five attractions are ""It's a Small World"", ""Star Wars Hyperspace Mountain"" (formerly known as """"), ""Big Thunder Mountain"", ""Pirates of the Caribbean"", and ""Buzz Lightyear's

Disneyland Paris Disneyland Paris, originally Euro Disney Resort, is an entertainment resort in Marne-la-Vallée, a new town located east of the centre of Paris. It encompasses two theme parks, many resort hotels, a shopping, dining, and entertainment complex, and a golf course, in addition to several additional recreational and entertainment venues. Disneyland Park is the original theme park of the complex, opening with the resort on 12 April 1992. A second theme park, Walt Disney Studios Park, opened in 2002. Disneyland Paris celebrated its 25th anniversary in 2017. In 25 years, 320 million people visited Disneyland Paris. The resort is

own thing. Do what's American'."" Unlike Disney's American theme parks, Euro Disney aimed for permanent employees (an estimated requirement of 12,000 for the theme park itself), as opposed to seasonal and temporary part-time employees. Casting centres were set up in Paris, London, and Amsterdam. However, it was understood by the French government and Disney that ""a concentrated effort would be made to tap into the local French labour market"". Disney sought workers with sufficient communication skills, who spoke two European languages (French and one other), and were socially outgoing. Following precedent, Euro Disney set up its own Disney University to

opens at 11:00 am and closes at 7:00 pm. The park opens selected rides 1 hour early for hotel guests. Although the park does extend closing time if it's busy, this doesn't happen as often in the winter seasons, partly due to low temperatures in the evening. Top amusement parks in Europe of annual attendance Europa-Park Europa-Park is the largest theme park in Germany, and the second most popular theme park resort in Europe, following Disneyland Paris. Europa-Park is located in Rust, in south-western Germany, between Freiburg and Strasbourg, France. The park is home to 13 roller coasters, the oldest",Disney Village is one of the two theme parks at Disneyland Paris.,PASS,PASS,Cat1,FALSE,CLEAR,PASS,PASS,Cat3,FALSE,CLEAR,PASS,PASS,Cat1,FALSE,CLEAR
REP_0014,Where was the movie the summer of 42 filmed?,"Gentry and her publisher a large percentage of the film’s receipts, and paid Herman Raucher $250,000 and a share of the profits to write the screenplay. Raucher was chosen to write the screenplay based on his script for ""Summer of '42"". Baer had intended to cast unknown actors int the lead roles of “Bobbie Lee Hartley” and “Billy Joe McAllister.” The July 2, 1975, issue of ""Variety"" announced that the locations for the film would include Gentry’s hometown of Greenwood, MS, along other local communities. Scenes at the old sawmill were filmed at Cross Lumber Company in Vaiden, Mississippi. The

Summer of '42 Summer of '42 is a 1971 American coming-of-age comedy-drama film based on the memoirs of screenwriter Herman Raucher (b. 1928). It tells the story of how Raucher, in his early teens on his 1942 summer vacation on Nantucket Island (off the coast of Cape Cod), embarks on a one-sided romance with a young woman, Dorothy, whose husband has gone off to fight in World War II. The film was directed by Robert Mulligan, and starred Gary Grimes as Hermie, Jerry Houser as his best friend Oscy, Oliver Conant as their nerdy young friend Benjie, Jennifer O'Neill as

encountered Dorothy again and married her. As of 2017, this project – which O'Neill had hoped to produce with Lifetime television – has not been realized, and it is unknown whether O'Neill is still attempting to get it produced, or if Raucher consented to its production. Summer of '42 Summer of '42 is a 1971 American coming-of-age comedy-drama film based on the memoirs of screenwriter Herman Raucher (b. 1928). It tells the story of how Raucher, in his early teens on his 1942 summer vacation on Nantucket Island (off the coast of Cape Cod), embarks on a one-sided romance with

and produce a Jackie Robinson biopic with Brian Helgeland on board to write and direct, under a distribution deal with Warner Bros. Legendary collaborated with Robinson’s widow, Rachel Robinson, to ensure the authenticity of her husband’s story. She had previously been involved with Redford's project. ""42"" was filmed primarily in Macon, Georgia, Birmingham, Alabama, and Chattanooga, Tennessee. Some interior scenes were shot at Atlanta Film Studios Paulding County in Hiram, Georgia. Most of the interior stadium shots were filmed at Engel Stadium in Chattanooga, Tennessee. Utilizing old photographs and stadium blueprints, Ebbets Field, Shibe Park, The Polo Grounds, Crosley Field,

country, at venues such as Kalliope Stage in Cleveland Heights, Ohio in 2004 (directed by Paul Gurgol) and Mill Mountain Theatre in Roanoke, Virginia, (directed by Jere Hodgin and choreographed by Bernard Monroe), and was subsequently recorded as a concert by the York Theatre Company in 2006. In 2002, O'Neill claimed to have obtained the rights to make a sequel to ""Summer of '42"", based on a short story she wrote, which took place in an alternate reality where Herman Raucher had a son and divorced his wife, went back to Nantucket in 1962 with a still-living Oscar Seltzer, and",Summer of '42 was filmed on Nantucket Island.,PASS,PASS,Cat1,FALSE,UNCLEAR,PASS,PASS,Cat1,FALSE,CLEAR,PASS,PASS,Cat1,FALSE,CLEAR
REP_0046,"Edward Sedgwick and John Milius, share which common occupations?","Edward Sedgwick (November 7, 1889 – March 7, 1953) was an American film director, writer, actor and producer.John Frederick Milius (born April 11, 1944) is an American screenwriter, director, and producer of motion pictures.","Edward Sedgwick and John Milius shared at least three occupations: director, writer/screenwriter, and producer.",FAIL,PASS,N/A,TRUE,CLEAR,PASS,PASS,Cat3,TRUE,CLEAR,PASS,PASS,Cat3,TRUE,CLEAR
REP_0049,Ivar the Boneless had a brother who held what position in the mid-ninth-century?,"His brothers included Björn Ironside, Halfdan Ragnarsson, Hvitserk, Sigurd Snake-in-the-Eye and Ubba.Ubba, also known as Hubba, Ubbe, and Ubbi, was a mid-ninth-century Viking chieftain and one of the commanders of the Great Army, a coalition of Norse warriors that in AD 865 invaded the Anglo-Saxon kingdoms of Northumbria, Mercia, East Anglia and Wessex.","At least one of Ivar the Boneless's brothers, Ubba, was a mid-ninth-century Viking chieftain.",PASS,PASS,Cat7,TRUE,CLEAR,PASS,PASS,Cat3,TRUE,CLEAR,PASS,PASS,Cat3,TRUE,CLEAR
REP_0085,Who wrote give me a home among the gum trees?,"Give Me a Home Among the Gumtrees Give Me a Home Among the Gumtrees (or Home Among the Gumtrees) is a popular Australian song written in 1974 by Wally Johnson and Bob Brown (aka Captain Rock). It was originally performed as a satirical number in Johnson and Brown's comedy act at the Flying Trapeze Cafe in Fitzroy, Melbourne and was first recorded in 1975 on the Captain Rock album ""Buried Treasure"" on Mushroom Records. At that time the Australian Government had decided to scrap ""God Save the Queen"" as the national anthem and was running a contest called the ""Australian

""Give Me a Home Among the Gumtrees "" Give Me a Home Among the Gumtrees Give Me a Home Among the Gumtrees (or Home Among the Gumtrees) is a popular Australian song written in 1974 by Wally Johnson and Bob Brown (aka Captain Rock). It was originally performed as a satirical number in Johnson and Brown's comedy act at the Flying Trapeze Cafe in Fitzroy, Melbourne and was first recorded in 1975 on the Captain Rock album ""Buried Treasure"" on Mushroom Records. At that time the Australian Government had decided to scrap ""God Save the Queen"" as the national anthem

was later recorded by popular Australian country music singer-songwriter John Williamson, thus increasing its popularity (many mistakenly believe Williamson to be the original composer). Bullamakanka made some changes to the lyrics, which were also retained in Williamson's recording. These tended to water down the original tongue-in-cheek nature of the song. Bullamakanka's version was later used as the theme song for a popular gardening and lifestyle television program called ""Burke's Backyard"", which ran on Australian television for 17 years. The program once held a competition for the best school video version of Home Among the Gumtress, and thousands of entries were

submitted; one of the winners was an Aboriginal community school group who sang the song in their own language. Home Among the Gumtress has a set of mime actions accompanying the chorus which are familiar to people throughout Australia, although their exact origins are unknown. The song has become one of the most frequently recorded Australian compositions of all time and is a standard in Australian folk music. A variety of artists have covered it, ranging from bushbands like Paradiddle to international superstar violinist André Rieu, who included it on his 2008 album Waltzing Matilda. John Williamson performed Gumtrees at

music. The ABC observed: ""Like our landscape, the history of Australia is best told by our poets, and this recording offers a unique slice... of our bushland, our people, our dreams, and our extraordinary sense of humour."" Forrester's music also appeared on the Larrikin Records 1996 composite album, ""Give Me a Home Among the Gum Trees"", along with Australian country-folk icons Eric Bogle, Judy Small, The Bushwackers, and others. Random House Australia's 1991 profile declared that ""the most striking aspect of the albums, apart from their frequency, is the exceptionally high standard of songwriting."" ""Australian Country Music"" observed that the",Wally Johnson and Bob Brown have a stronger claim to authorship of Give Me a Home Among the Gumtrees than John Williamson.,PASS,PASS,Cat5,TRUE,UNCLEAR,PASS,PASS,Cat5,TRUE,CLEAR,PASS,PASS,Cat5,TRUE,CLEAR
REP_0089,Billy Henry played for Manchester City and which other current Premier League club?,"William ""Billy"" A. Henry was a footballer who played as a right back for Rangers, Falkirk, Leicester City and Manchester City. They compete in the Premier League, England's top division of football.","Leicester City competes in England's top division of football, the Premier League.",PASS,PASS,Cat1,TRUE,CLEAR,PASS,PASS,Cat5,TRUE,CLEAR,PASS,PASS,Cat5,TRUE,CLEAR
REP_0096,"Which band from Lancaster, Pennsylvania formed in 2003 has toured with Iwrestledabearonce?","Iwrestledabearonce is an American metalcore band formed in 2007 in Shreveport, Louisiana, but later based in Los Angeles, CA. They have toured with acts such as Alesana, The Dillinger Escape Plan, August Burns Red, Dance Gavin Dance, The Human Abstract, Chimaira, As I Lay Dying, Parkway Drive, Of Mice & Men, Despised Icon, Emmure, Oceano, Attila, Upon a Burning Body, Every Time I Die, The Chariot, Chelsea Grin, and Horse the Band.August Burns Red is an American metalcore band from Lancaster, Pennsylvania formed in 2003.",August Burns Red was formed later than Iwrestledabearonce.,PASS,PASS,Cat4,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR
REP_0098,"Which Canadian-American actress, born in 1954, stars in Where the Wild Things Are?","The film stars Max Records and features the voices of James Gandolfini, Paul Dano, Lauren Ambrose, Forest Whitaker, Catherine O'Hara, and Chris Cooper.Catherine Anne O'Hara (born March 4, 1954) is a Canadian-American actress, writer, and comedian.","Catherine O'Hara was among a voice cast with more female performers than male performers in ""Where the Wild Things Are"".",FAIL,PASS,N/A,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR
REP_0100,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,"The Southern Railway (German: ""Südbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to Mürzzuschlag was the first mountain railway in Europe built with a standard gauge track.",The Semmering railway was the second mountain railway in Europe built with a standard gauge track.,PASS,PASS,Cat4,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR,PASS,PASS,Cat5,FALSE,CLEAR
REP_0109,Which Argentine actress won the Best Actress award at the Moscow International Film Festival in 1977 for her role in Crazy Women?,"Crazy Women (Spanish: ""Las locas"" ) is a 1977 Argentine drama film written by José P. Dominiani and directed by Enrique Carreras. It was entered into the 10th Moscow International Film Festival where Mercedes Carreras won the award for Best Actress.Mercedes Carreras (born 22 September 1940) is an Argentine actress. She won the award for Best Actress for her role in ""Crazy Women"" at the 10th Moscow International Film Festival.",Crazy Women was entered into the 10th Moscow International Film Festival.,PASS,FAIL,Cat4,TRUE,CLEAR,PASS,FAIL,Cat6,TRUE,CLEAR,PASS,FAIL,Cat6,TRUE,CLEAR
