Dataset_ID,Manual_Review_Result,Modification_Details,Deletion_Details
haluevalqa-00002,Keep,,
haluevalqa-00006,Keep,,
haluevalqa-00007,Deleted,,"Right-answer issue: the right answer is incorrect, question-misaligned, incomplete, or insufficiently supported by the context."
haluevalqa-00008,Modified,"hallucinated_answer: ""Badr Hari is a notorious kickboxer."" -> ""Badr Hari was never involved in controversies concerning unsportsmanlike conduct.""",
haluevalqa-00010,Keep,,
haluevalqa-00011,Keep,,
haluevalqa-00014,Keep,,
haluevalqa-00017,Keep,,
haluevalqa-00018,Keep,,
haluevalqa-00019,Keep,,
haluevalqa-00021,Keep,,
haluevalqa-00024,Keep,,
haluevalqa-00027,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00030,Keep,,
haluevalqa-00035,Keep,,
haluevalqa-00040,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00042,Keep,,
haluevalqa-00043,Keep,,
haluevalqa-00044,Keep,,
haluevalqa-00045,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00048,Keep,,
haluevalqa-00049,Keep,,
haluevalqa-00052,Keep,,
haluevalqa-00053,Keep,,
haluevalqa-00054,Keep,,
haluevalqa-00055,Keep,,
haluevalqa-00057,Keep,,
haluevalqa-00059,Keep,,
haluevalqa-00061,Keep,,
haluevalqa-00062,Keep,,
haluevalqa-00064,Keep,,
haluevalqa-00067,Keep,,
haluevalqa-00071,Keep,,
haluevalqa-00076,Keep,,
haluevalqa-00079,Keep,,
haluevalqa-00082,Keep,,
haluevalqa-00091,Keep,,
haluevalqa-00092,Keep,,
haluevalqa-00095,Keep,,
haluevalqa-00096,Keep,,
haluevalqa-00098,Keep,,
haluevalqa-00100,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00102,Keep,,
haluevalqa-00105,Keep,,
haluevalqa-00106,Keep,,
haluevalqa-00107,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00108,Keep,,
haluevalqa-00109,Keep,,
haluevalqa-00111,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00112,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00113,Keep,,
haluevalqa-00119,Keep,,
haluevalqa-00123,Keep,,
haluevalqa-00124,Keep,,
haluevalqa-00127,Keep,,
haluevalqa-00128,Keep,,
haluevalqa-00130,Keep,,
haluevalqa-00136,Keep,,
haluevalqa-00137,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00139,Keep,,
haluevalqa-00141,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00143,Keep,,
haluevalqa-00148,Keep,,
haluevalqa-00151,Keep,,
haluevalqa-00154,Keep,,
haluevalqa-00156,Keep,,
haluevalqa-00158,Modified,"hallucinated_answer: ""Der Mond was composed by Carl Orff."" -> ""Carl Orff was best known for the cantata ""The Moon"".""",
haluevalqa-00160,Keep,,
haluevalqa-00166,Keep,,
haluevalqa-00167,Keep,,
haluevalqa-00172,Keep,,
haluevalqa-00175,Keep,,
haluevalqa-00178,Keep,,
haluevalqa-00184,Keep,,
haluevalqa-00186,Keep,,
haluevalqa-00191,Keep,,
haluevalqa-00192,Keep,,
haluevalqa-00195,Keep,,
haluevalqa-00197,Modified,"hallucinated_answer: ""The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of about 2,500 residents."" -> ""The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of 3,523 residents.""",
haluevalqa-00199,Keep,,
haluevalqa-00201,Keep,,
haluevalqa-00203,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00204,Keep,,
haluevalqa-00208,Modified,"hallucinated_answer: ""Lee Ranaldo is older than Mary Ramsey."" -> ""Mary Ramsey is older than Lee Ranaldo.""",
haluevalqa-00209,Keep,,
haluevalqa-00211,Keep,,
haluevalqa-00213,Keep,,
haluevalqa-00214,Keep,,
haluevalqa-00215,Keep,,
haluevalqa-00218,Keep,,
haluevalqa-00220,Keep,,
haluevalqa-00221,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00222,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00224,Keep,,
haluevalqa-00229,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00242,Keep,,
haluevalqa-00243,Keep,,
haluevalqa-00245,Keep,,
haluevalqa-00246,Keep,,
haluevalqa-00251,Keep,,
haluevalqa-00252,Keep,,
haluevalqa-00254,Keep,,
haluevalqa-00257,Keep,,
haluevalqa-00258,Keep,,
haluevalqa-00261,Keep,,
haluevalqa-00264,Keep,,
haluevalqa-00265,Keep,,
haluevalqa-00272,Keep,,
haluevalqa-00274,Keep,,
haluevalqa-00277,Keep,,
haluevalqa-00280,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00283,Keep,,
haluevalqa-00285,Keep,,
haluevalqa-00288,Keep,,
haluevalqa-00289,Keep,,
haluevalqa-00292,Keep,,
haluevalqa-00293,Keep,,
haluevalqa-00298,Keep,,
haluevalqa-00299,Keep,,
haluevalqa-00305,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00307,Keep,,
haluevalqa-00308,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00309,Keep,,
haluevalqa-00310,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00311,Keep,,
haluevalqa-00313,Keep,,
haluevalqa-00314,Keep,,
haluevalqa-00318,Keep,,
haluevalqa-00320,Keep,,
haluevalqa-00326,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00329,Keep,,
haluevalqa-00331,Keep,,
haluevalqa-00333,Keep,,
haluevalqa-00334,Keep,,
haluevalqa-00336,Keep,,
haluevalqa-00337,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00338,Keep,,
haluevalqa-00341,Keep,,
haluevalqa-00345,Keep,,
haluevalqa-00346,Keep,,
haluevalqa-00347,Keep,,
haluevalqa-00348,Keep,,
haluevalqa-00352,Keep,,
haluevalqa-00353,Keep,,
haluevalqa-00356,Keep,,
haluevalqa-00358,Keep,,
haluevalqa-00360,Keep,,
haluevalqa-00362,Keep,,
haluevalqa-00364,Keep,,
haluevalqa-00365,Keep,,
haluevalqa-00368,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00371,Keep,,
haluevalqa-00374,Keep,,
haluevalqa-00376,Keep,,
haluevalqa-00382,Keep,,
haluevalqa-00383,Keep,,
haluevalqa-00385,Keep,,
haluevalqa-00387,Keep,,
haluevalqa-00388,Keep,,
haluevalqa-00396,Keep,,
haluevalqa-00398,Keep,,
haluevalqa-00399,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00401,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00402,Keep,,
haluevalqa-00403,Keep,,
haluevalqa-00404,Keep,,
haluevalqa-00407,Keep,,
haluevalqa-00408,Keep,,
haluevalqa-00421,Keep,,
haluevalqa-00424,Keep,,
haluevalqa-00427,Keep,,
haluevalqa-00432,Keep,,
haluevalqa-00433,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00435,Keep,,
haluevalqa-00436,Keep,,
haluevalqa-00440,Keep,,
haluevalqa-00441,Keep,,
haluevalqa-00442,Keep,,
haluevalqa-00446,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00448,Keep,,
haluevalqa-00452,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00455,Keep,,
haluevalqa-00460,Keep,,
haluevalqa-00470,Keep,,
haluevalqa-00472,Keep,,
haluevalqa-00474,Keep,,
haluevalqa-00475,Keep,,
haluevalqa-00478,Keep,,
haluevalqa-00488,Keep,,
haluevalqa-00495,Keep,,
haluevalqa-00499,Keep,,
haluevalqa-00501,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00504,Keep,,
haluevalqa-00505,Keep,,
haluevalqa-00506,Keep,,
haluevalqa-00512,Keep,,
haluevalqa-00519,Keep,,
haluevalqa-00521,Keep,,
haluevalqa-00523,Keep,,
haluevalqa-00526,Keep,,
haluevalqa-00528,Keep,,
haluevalqa-00531,Keep,,
haluevalqa-00532,Keep,,
haluevalqa-00533,Keep,,
haluevalqa-00534,Deleted,,"Right-answer issue: the right answer is incorrect, question-misaligned, incomplete, or insufficiently supported by the context."
haluevalqa-00541,Keep,,
haluevalqa-00543,Keep,,
haluevalqa-00546,Keep,,
haluevalqa-00547,Keep,,
haluevalqa-00553,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00556,Keep,,
haluevalqa-00562,Keep,,
haluevalqa-00563,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00566,Keep,,
haluevalqa-00568,Keep,,
haluevalqa-00570,Keep,,
haluevalqa-00576,Keep,,
haluevalqa-00585,Keep,,
haluevalqa-00590,Keep,,
haluevalqa-00591,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00593,Keep,,
haluevalqa-00594,Keep,,
haluevalqa-00604,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00608,Keep,,
haluevalqa-00610,Keep,,
haluevalqa-00615,Keep,,
haluevalqa-00618,Keep,,
haluevalqa-00636,Keep,,
haluevalqa-00638,Keep,,
haluevalqa-00643,Keep,,
haluevalqa-00645,Keep,,
haluevalqa-00647,Keep,,
haluevalqa-00653,Keep,,
