id,source_order,source_dataset,source_id,question,context,factoid,atomicity,question_relevance,primary_category,category_name,context_support,evidence_clarity,annotator_id
REP_0001,1,ASQA,560,Who does the french footballer mbappe play for?,"meeting with French President Emmanuel Macron and FIFA president Gianni Infantino at the Élysée Palace in Paris that focused on a sports development project in Africa. Mbappé stated that the development of African sport is important to him due to his parents' African origins. ""As of match played 20 November 2018. France score listed first, score column indicates score after each Mbappé goal."" Monaco Paris Saint-Germain France U19 France Individual Kylian Mbappé Kylian Mbappé Lottin (; born 20 December 1998) is a French professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and the France national

Mbappé began his career at AS Bondy, coached by his father, Wilfried. Another of his youth coaches at AS Bondy, Antonio Riccardi, stated, Eventually he moved to the Clairefontaine academy, putting on a host of impressive performances leading to numerous French clubs, and Real Madrid, Chelsea, Liverpool, Manchester City and Bayern Munich, attempting to sign him. Mbappé travelled to London for a trial with Chelsea when he was 11, playing a match for their youth team against Charlton Athletic. He ultimately settled on Monaco. Mbappé made his first team debut on 2 December 2015 in a 1–1 Ligue 1 home

Kylian Mbappé Kylian Mbappé Lottin (; born 20 December 1998) is a French professional footballer who plays as a forward for Ligue 1 club Paris Saint-Germain and the France national team. He is considered the world's most expensive player from a transfer value perspective by the CIES. Mbappé came into prominence at an early age, starring for the youth academy at Bondy before gaining a move to Monaco, where he made his professional debut in 2015, aged 16. Mbappé then quickly established himself as a regular goalscorer for the first team in the 2016–17 season, as he helped the club

Cup Final. He finished as the joint second-highest goalscorer as France won the tournament, and received the Best Young Player Award for his performances. Mbappé was born in Paris, France. His father, Wilfried Mbappé, is from Cameroon, and, as well as being his agent, is a football coach, while his mother, Fayza Lamari, is of Algerian origin and is a former handball player. He has a younger brother, Ethan Mbappé, who plays for PSG under-12s. His adoptive brother, Jirès Kembo Ekoko, is also a professional football player. Growing up, his idol was Cristiano Ronaldo, a player he looked to emulate.

Kopa Trophy, which is awarded by ""France Football"" to the best player in the world under the age of 21. Mbappé capped a fine debut senior season at Monaco by scoring five times for France as they won the 2016 UEFA European Under-19 Championship, the striker almost single-handedly securing their spot in the final with a sparkling performance in their 3–1 victory against Portugal in the semi-finals. Mbappé was called up to the senior France squad for the first time to face Luxembourg and Spain in March 2017. He made his debut on 25 March 2017 against the former, coming",Kylian Mbappé plays for Paris Saint-Germain.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0002,2,ASQA,469,Who sang the song she's got betty davis eyes?,"Bette Davis Eyes ""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes. DeShannon recorded it in 1974; Carnes's 1981 version spent nine weeks at No. 1 on the ""Billboard"" Hot 100 and was ""Billboard""s biggest hit of 1981. The song was written in 1974 by Donna Weiss and Jackie DeShannon. DeShannon recorded the song that same year on her album ""New Arrangement."" In this original incarnation, the track is performed in an ""R&B lite"" arrangement, featuring a prominent uptempo piano part, as well as flourishes of

pedal steel guitar and horns. However, it was not until 1981, when Kim Carnes recorded her version of the song in a radically different synthesizer-based arrangement, that ""Bette Davis Eyes"" became a commercial success. The Carnes version spent nine non-consecutive weeks on top of the US ""Billboard"" Hot 100 (interrupted for one week by the ""Stars on 45 Medley"") and was ""Billboard""s biggest hit of the year for 1981. The single also reached No. 5 on Billboard's Top Tracks charts and No. 26 on the Dance charts. The song won the Grammy Awards for Song of the Year and Record

She also played supporting roles in the Disney films ""Return from Witch Mountain"" (1978) and ""The Watcher in the Woods"" (1980). Davis' name became well known to a younger audience when Kim Carnes' song ""Bette Davis Eyes"" (written by Jackie DeShannon) became a worldwide hit and the best-selling record of 1981 in the U.S., where it stayed at number one on the music charts for more than two months. Davis' grandson was impressed that she was the subject of a hit song and Davis considered it a compliment, writing to both Carnes and the songwriters, and accepting the gift of

one for me is a demo for Kim,"" Robinson told ""The Huffington Post."" In 1981, Carnes provided backing vocals on Dionne Warwick's ""No Night So Long"" album. In 1981, Carnes recorded the Jackie DeShannon and Donna Weiss song ""Bette Davis Eyes,"" which had originally been written and composed in 1974. As the first single released from the album ""Mistaken Identity,"" it spent nine weeks at number one on the US singles charts and became a worldwide hit. The song's success propelled the album to number one for four weeks. The single became the biggest hit of the entire year for

shadowed silhouette of Bette Davis smoking a cigarette appears throughout the video. There is much confusion over whether the lyrics are ""she knows just what it takes to make a crow blush"" or ""... pro blush"". Jackie DeShannon sings ""crow"" in her version, and Kim Carnes recorded it as ""pro."" Others have misheard the lyrics as ""she knows just what it takes to makes a girl blush,"" suggesting a bisexual undertone, although this was unintended by either DeShannon or Weiss. Bette Davis Eyes ""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made","Kim Carnes recorded the commercially successful 1981 version of ""Bette Davis Eyes"".",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0003,3,ASQA,505,Who sings in next to me imagine dragons?,"single premiered on Zane Lowe's Beats 1 radio show as the day's ""World Record"", and was released alongside the announcement of extended summer tour dates. ""Next to Me"" was referred to as the band's first love song. Dan Reynolds, lead singer of the song, admitted that it was an unexpected theme change in the interview with Lowe, saying: ""Yeah I don't typically write love songs. I started writing when I was about 13 years old and it was a source of an escape from school from depression from feeling lost and it was never a romance. So for me this

Next to Me (Imagine Dragons song) ""Next to Me"" is a song recorded by American rock band Imagine Dragons. Written by all four members of the band and producer Alex da Kid, it was released through Kidinakorner and Interscope Records on February 21, 2018, as the fourth single from the band's third studio album ""Evolve"", appearing as the first track on a re-issue of the album. The band first teased the song on February 14, 2018, with a tweet that contains the cover artwork, which features two people in a canyon. They captioned the picture: ""2/21 the evolution begins."" The

Wass of Idolator stated that the song features a ""sleepy tempo"". Credits adapted from Tidal. Imagine Dragons Additional musician Technical personnel Next to Me (Imagine Dragons song) ""Next to Me"" is a song recorded by American rock band Imagine Dragons. Written by all four members of the band and producer Alex da Kid, it was released through Kidinakorner and Interscope Records on February 21, 2018, as the fourth single from the band's third studio album ""Evolve"", appearing as the first track on a re-issue of the album. The band first teased the song on February 14, 2018, with a tweet

is some of the first times that I've really explored diving into my mind and musicality and sonicality of romance."" He regarded it as ""something everybody can relate to"", which is the ""feeling like you are going to fail sometimes in a relationship and the true value of a relationship is what happens then"". An accompanying short film for the song was released on March 13, 2018. The video stars the lead singer, Dan Reynolds, and his wife, Aja Volkman. In the video, Aja leaves Dan due to his problems, leading to him attempting to sell his wedding ring. The

Top+Shoes in Almacenes Paris, and was featured in the soundtrack of Chilean soap opera ""Soltera otra vez"" (2nd season). The song was performed by Rachel Berry (Lea Michele) and her mother, Shelby Corcoran (Idina Menzel), in the 2013 ""Glee"" episode ""Sweet Dreams"". It was also used in video games """" and ""Dance Central Spotlight"". Next to Me (Emeli Sandé song) ""Next to Me"" is a song by Scottish recording artist Emeli Sandé. The single was first released in Ireland on 10 February 2012 as the third single from her debut studio album, ""Our Version of Events"" (2012). ""Next to Me""","Dan Reynolds is the lead singer on Imagine Dragons’ song ""Next to Me"".",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0004,4,ASQA,680,Who wrote an essay on the principle of population?,"An Essay on the Principle of Population The book An Essay on the Principle of Population was first published anonymously in 1798, but the author was soon identified as Thomas Robert Malthus. The book predicted a grim future, as population would increase geometrically, doubling every 25 years, but food production would only grow arithmetically, which would result in famine and starvation, unless births were controlled. While it was not the first book on population, it was revised for over 28 years and has been acknowledged as the most influential work of its era. Malthus's book fuelled debate about the size

Malthus now clearly identified as the author), was entitled """"An Essay on the Principle of Population; or, a View of its Past and Present Effects on Human Happiness; with an enquiry into our Prospects respecting the Future Removal or Mitigation of the Evils which it occasions""."" Malthus advised that the 2nd edition ""may be considered as a new work"", and the subsequent editions were all minor revisions of the 2nd edition. These were published in 1806, 1807, 1817, and 1826. By far the biggest change was in how the 2nd to 6th editions of the essay were structured, and the

the 2nd edition onwards. Also, the essay became less of a personal response to Godwin and Condorcet. ""A Summary View on the Principle of Population"" was published in 1830. The author was identified as Rev. T.R. Malthus, A.M., F.R.S. Malthus wrote ""A Summary View"" for those who did not have the leisure to read the full essay and, as he put it, ""to correct some of the misrepresentations which have gone abroad respecting two or three of the most important points of the Essay"". ""A Summary View"" ends with a defense of the Principle of Population against the charge that

most copious and detailed evidence that Malthus presented, more than any previous such book on population. Essentially, for the first time, Malthus examined his own Principle of Population on a region-by-region basis of world population. The essay was organized in four books: Due in part to the highly influential nature of Malthus' work (see main article Thomas Malthus), this approach is regarded as pivotal in establishing the field of demography. The following controversial quote appears in the second edition: A man who is born into a world already possessed, if he cannot get subsistence from his parents on whom he

Historique des Progres de l'Espirit Humain (The Future Progress of the Human Mind)"" in 1794. Malthus' remarks on Condorcet's work spans chapters 8 and 9. Malthus' essay was in response to these utopian visions, as he argued: The ""other writers"" included Robert Wallace, Adam Smith, Richard Price, and David Hume. Malthus himself claimed: Chapters 1 and 2 outline Malthus' Principle of Population, and the unequal nature of food supply to population growth. The exponential nature of population growth is today known as the Malthusian growth model. This aspect of Malthus' Principle of Population, together with his assertion that food supply",Thomas Robert Malthus wrote An Essay on the Principle of Population.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0005,5,ASQA,487,Who played eric's sister on that 70 show?,"with her parents, Midge and Bob Pinciotti. Early in the series, her younger sister, 14-year-old Tina (played by Amanda Fuller), appears in the episode ""Eric's Burger Job"" but is never seen again, nor do other characters mention her after the first season. At the end of the season 2 episode ""Vanstock"", this is made fun of when a narrator asks ""Whatever happened to Midge's other daughter, Tina?"" Donna also has an older sister, Valerie Pinciotti (""Eric's Birthday""). She is apparently in college as revealed by Midge. As Eric is turning 17, Midge shows Kitty a book of poems that helped

and ""Jawbreaker"". Kelly played Laurie Forman, the older sister of Eric Forman, on ""That '70s Show"". She abruptly left the show midway through the third season, and her character was written out of the show to ""attend beauty school"". She returned to the show in the fifth season for four episodes but was replaced with Christina Moore in the sixth season. In an interview with ABC News, she admitted that ""with ""That '70s Show"" I was guilty of a drinking problem, and I ran"", blaming her alcoholism on the loss of a baby. In August 2010, Kelly was arrested in

to a hearty farewell. Eric's family includes his doting mother, Kitty Forman, who has impending separation anxiety and menopause, his crabby father, Red Forman, who is a strict Korean War military veteran, and his older sister, Laurie Forman, who is a promiscuous blonde who uses her looks to get what she wants. Eric's best friend, Steven Hyde, who was essentially abandoned by his parents, later becomes his foster brother. Eric was the show's protagonist from seasons one through seven until he was written out due to Grace's departure from the series. However, despite Eric's absence, he is mentioned at least

fault for taking that stupid job."" In Season 1, Episode 2 it is revealed that Donna is one month older than Eric. In the episode ""Good Company"", it is revealed through context that Donna's birthday is sometime in January. Donna Pinciotti Donna Marie Pinciotti is a fictional character and one of the two female leads in the Fox sitcom ""That '70s Show"", appearing in all eight seasons. Portrayed by Laura Prepon, Donna is the love interest to Eric Forman. Donna's relationship with next-door neighbor Eric Forman is often the main focus of the series. However, it is tumultuous at times,

Donna Pinciotti Donna Marie Pinciotti is a fictional character and one of the two female leads in the Fox sitcom ""That '70s Show"", appearing in all eight seasons. Portrayed by Laura Prepon, Donna is the love interest to Eric Forman. Donna's relationship with next-door neighbor Eric Forman is often the main focus of the series. However, it is tumultuous at times, having suffered two break-ups during the show's run. Despite this, Eric and Donna often act as the ""parents"" of the group, being mature and responsible when their friends are not, for example in episodes like ""Dine and Dash"". Another","Lisa Robin Kelly played Laurie Forman, Eric Forman’s older sister, on ""That '70s Show"".",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0006,6,HALUEVALQA,haluevalqa-05819,"Pherenikos is celebrated in epinikions, what are they?","Owned by Hieron I, tyrant of Syracuse, Pherenikos is celebrated in the victory odes of both Pindar and Bacchylides.The epinikion or epinicion (plural ""epinikia"" or ""epinicia"", Greek ἐπινίκιον , from ""epi-"", ""on,"" + ""nikê"", ""victory"") is a genre of occasional poetry also known in English as a victory ode.","Epinikia are victory odes, a genre of occasional poetry.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0007,7,HALUEVALQA,haluevalqa-05406,What name is Jose Ramón Gil Samaniego who starred in the 1932 American Film 'Huddle' best known as?,"Huddle is a 1932 American Pre-Code film directed by Sam Wood and starring Ramon Novarro, Madge Evans, Ralph Graves and Una Merkel.Jose Ramón Gil Samaniego, best known as Ramón Novarro (February 6, 1899 – October 30, 1968), was a Mexican film, stage and television actor who began his career in silent films in 1917 and eventually became a leading man and one of the top box office attractions of the 1920s and early 1930s.","Jose Ramón Gil Samaniego, who starred in ""Huddle"", is best known as Ramón Novarro.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0008,8,HALUEVALQA,haluevalqa-05417,For which the American college basketball star at Loyola Marymount University died during a game?,"On March 4, 1990, LMU star Hank Gathers died during a West Coast Conference men's basketball tournament game from cardiomyopathy.Eric ""Hank"" Gathers (February 11, 1967 – March 4, 1990) was an American college basketball star at Loyola Marymount University who collapsed and died during a game.","Hank Gathers, the Loyola Marymount basketball star who died during a game, died from cardiomyopathy.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0009,9,HALUEVALQA,haluevalqa-05829,"Anna Guseva is a Russian distance swimmer, she competed in the Women's marathon 10 kilometre, finishing in 10th place, in which 2012 major international multi-sport event celebrated in the tradition of the Olympic Games, as governed by the International Olympic Committee (IOC)?","At the 2012 Summer Olympics, she competed in the Women's marathon 10 kilometre, finishing in 10th place.The 2012 Summer Olympics, formally the Games of the XXX Olympiad and commonly known as London 2012, was a major international multi-sport event celebrated in the tradition of the Olympic Games, as governed by the International Olympic Committee (IOC).",Anna Guseva competed in the women’s marathon 10 kilometre at the 2012 Summer Olympics.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
REP_0010,10,HALUEVALQA,haluevalqa-05847,What is the full name of the Portuguese footballer who kicked the winning goal in the 2004 Coupe de France Final?,"The Coupe de France Final 2004 was a football match held at Stade de France, Saint-Denis on 29 May 2004, that saw Paris SG defeat LB Châteauroux 1-0 thanks to a goal by Pauleta.Pedro Miguel Carreiro Resendes, (born 28 April 1973), known as Pauleta (] ), is a retired Portuguese footballer who played as a striker.",Pauleta's full name is Pedro Miguel Carreiro Resendes.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
