annotation_id,source_order,question,context,factoid,atomicity,question_relevance,primary_category,category_name,context_support,evidence_clarity,annotator_id
RQ3-0001,1,"Formerly titled the Collegiate Church of St Peter at Westminster, of which church was John Fecknam the last abbot?","John Feckenham (c. 1515 – October, 1584), also known as John Howman of Feckingham and later John de Feckenham or John Fecknam, was an English churchman, the last abbot of Westminster.Westminster Abbey, formally titled the Collegiate Church of St Peter at Westminster, is a large, mainly Gothic abbey church in the City of Westminster, London, just to the west of the Palace of Westminster.",John Feckenham was the last abbot of Westminster Abbey.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0002,2,"Björn Ulvaeus was a part of a Swedish pop group, formed in Stockholm in 1972, as well as co-producer on the film ""Mamma Mia!"" with who?","ABBA (] ) were a Swedish pop group, formed in Stockholm in 1972 by members Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad.Björn Kristian Ulvaeus (] ) (born 25 April 1945; credited as Björn Ulvæus) is a Swedish songwriter, producer, a former member of the Swedish musical group ABBA (1972–1982), and co-composer of the musicals ""Chess"", ""Kristina från Duvemåla"", and ""Mamma Mia! He co-produced the film ""Mamma Mia!"" with fellow ABBA member and close friend Benny Andersson.",Benny Andersson is a member of the pop group ABBA.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0003,3,Where does the flat iron cut of meat come from?,"of steak is from the shoulder of a beef animal. It is located adjacent to the heart of the shoulder clod, under the seven or paddle bone (shoulder blade or scapula). The steak encompasses the infraspinatus muscles of beef, and one may see this displayed in some butcher shops and meat markets as a ""top blade"" roast. Anatomically, the muscle forms the dorsal part of the rotator cuff of the steer. This cut is anatomically distinct from the shoulder tender, which lies directly below it and is the teres major. Flat iron steaks usually have a significant amount of marbling.

the original flat iron cut was identified in 2002 as part of a National Cattlemen's Beef Association initiative, in conjunction with the University of Nebraska and the University of Florida to find lower-priced cuts which could be trimmed into steaks and roasts. Flat iron steak Flat iron steak (US), butlers' steak (UK), or oyster blade steak (Australia and New Zealand) is a cut of steak cut with the grain from the shoulder of the animal. This produces a flavorful cut that is a bit tough because it contains a gristly fascia membrane unless removed. Some restaurants offer it on their

Flat iron steak Flat iron steak (US), butlers' steak (UK), or oyster blade steak (Australia and New Zealand) is a cut of steak cut with the grain from the shoulder of the animal. This produces a flavorful cut that is a bit tough because it contains a gristly fascia membrane unless removed. Some restaurants offer it on their menu, often at lower price than the more popular rib-eye and strip steaks of the same grade. This is used, in some places, as a means of selling a less expensive cut from the same animal, for example Kobe beef. This cut",The part of the shoulder a flat iron cut of meat comes from is under the seven or paddle bone.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0004,4,Mali Finn cast which New Zealand citizen as an actor in one of her films?,"She cast numerous actors in successful films, including Edward Furlong, Leonardo DiCaprio, and Russell Crowe.Russell Ira Crowe (born 7 April 1964) is an actor, film producer and musician.",Mali Finn cast Russell Crowe in successful films.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0005,5,"Abraham Bankier was one of the owners of the Rekord factory that was taken over by a German Industrialist, spy, and member of the Nazi Party who is credited with saving how many Jews during the Holocaust?","Abraham Bankier (1910-1956) was one of the owners of the ""Rekord"" factory on Lipowa street in Cracow, Poland, that Oskar Schindler took over during World War II.Oskar Schindler (28 April 1908 – 9 October 1974) was a German industrialist, spy, and member of the Nazi Party who is credited with saving the lives of 1,200 Jews during the Holocaust by employing them in his enamelware and ammunitions factories, which were located in occupied Poland and the Protectorate of Bohemia and Moravia.",Abraham Bankier was one of the owners of the Rekord factory.,PASS,FAIL,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0006,6,Who sang i can't let maggie go?,"I Can't Let Maggie Go ""I Can't Let Maggie Go"" is a song by the British pop group Honeybus from early 1968. Written by band member Pete Dello, it was released as a non-album single. The song became an international Top 20 hit, reaching number 13 in New Zealand and number 11 in Ireland. It did best in their native United Kingdom, where it reached number eight in the UK Singles Chart. ""I Can't Let Maggie Go"" was included on the group's later compilation LPs, ""Honeybus at Their Best"" and ""Old Masters Hidden Treasures"". The song was also a top

with 1968's ""I Can't Let Maggie Go"", which was so popular that it earned the band a cover photo on the popular music magazine, ""Disc and Music Echo"", for which they posed atop a red London bus. ""I Can't Let Maggie Go"" reached Number 8 in the UK Singles Chart, in April 1968, staying in the Top 40 for over two months. Dello resigned in August 1968. The band recruited Jim Kelly on guitar and vocals to replace him and Cane began songwriting and performing lead vocals. This line-up scored minor successes with ""She Sold Blackpool Rock"" and ""Girl Of

10 hit in Italy, with a 1968 version made by Equipe 84, entitled ""Un angelo blu"" (""A blue angel""). It enjoyed an unexpected reprise in popularity in the 1970s, when it was used as the soundtrack for a television advertisement for ""Nimble"", a bread produced for slimmers. ""I Can't Let Maggie Go"" has been covered by J. Vincent Edwards in 1974, as well as by the Sideburns in 1993. David Essex included his own version on the 2005 compilation album, ""The Complete Collection"". I Can't Let Maggie Go ""I Can't Let Maggie Go"" is a song by the British pop","The song ""I Can't Let Maggie Go"" has been covered by the Sideburns in 1993.",PASS,PASS,Cat4,Time / Sequence,FALSE,CLEAR,Annotator B
RQ3-0007,7,Where does anything you can do i can do better come from?,"Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer attempting to outdo each other in increasingly complex tasks. In the musical, the song sets the scene for the climactic sharpshooting contest between Annie Oakley and Frank Butler. Its most memorable lines are, ""Anything you can do I can do better; I can do anything better than you."" The song was first performed in ""Annie Get Your Gun"" by

Ethel Merman and Ray Middleton. During the song, they argue playfully about who can, for example, sing softer, sing higher, sing sweeter, and hold a note for longer, and boast of their abilities and accomplishments, such as opening safes and living on bread and cheese, although Annie always seems to counter Frank's argument. Neither can ""bake a pie,"" though. Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer

choosing the occupation of ""newspaper carrier"" was required to ride a bicycle down a narrow yellow line (without veering from it) and throw several newspapers at targets. She lost control of the bicycle, fell to the studio floor, and apparently broke a bone. Wood mentioned other contestants being injured as well. The title of the show is inspired by a 1946 song called ""Anything You Can Do, I Can Do Better"" from the hit broadway musical ""Annie Get Your Gun"" (composed by Irving Berlin) as a sprirted duet with one male singer and one female singer attempting to outdo each","In ""Anything You Can Do"", the two singers argue over who can sing higher.",PASS,FAIL,Cat5,Comparative / Superlative,TRUE,CLEAR,Annotator B
RQ3-0008,8,"What is the name of the Tindersticks' soundtrack for which the film, written by Denis and Jean-Pol Fargeau, is also named?","Trouble Every Day is the name of Tindersticks' soundtrack to French director Claire Denis's 2001 film ""Trouble Every Day"".Trouble Every Day is a 2001 French erotic horror film directed by Claire Denis and written by Denis and Jean-Pol Fargeau.",The title of the work is Trouble Every Day.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0009,9,What area is the species of Spruce which can be found in Rensselaer Plateau native to?," Vegetation on the plateau is more similar to that found in the Adirondack Mountains to the northwest, with abundant Eastern White Pine, Eastern Hemlock, Red Spruce, and Balsam Fir, along with more limited occurrences of Red Pine and Tamarack.Picea rubens, commonly known as red spruce, is a species of spruce native to eastern North America, ranging from eastern Quebec to Nova Scotia, and from New England south in the Adirondack Mountains and Appalachians to western North Carolina.",Red spruce is native to the Adirondack Mountains.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0010,10,What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?,"GamePro was an American multiplatform video game magazine media company that published online and print content covering the video game industry, video game hardware and video game software.International Data Group, Inc. (IDG) is a Chinese-owned, American-based media, data and marketing services and venture capital organization.",GamePro was published by IDG Communications.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,FALSE,CLEAR,Annotator B
