dataset,comparison,unit,n,agreement_count,agreement_rate,cohen_kappa,labels,independent_accuracy,independent_f1,deepseek_accuracy,deepseek_f1
ASQA-top5-76,Gemma3-4B,response,152,124,0.8157894736842105,0.6353666895133653,"['False', 'True']",0.8421052631578947,0.8309859154929577,0.9473684210526315,0.949367088607595
ASQA-top5-76,Gemma3-4B,probe_verdict,4005,3308,0.8259675405742821,0.6599423452080666,"['NO', 'NOT_SURE', 'YES']",,,,
ASQA-top5-76,Gemma3-12B,response,152,144,0.9473684210526315,0.894736842105263,"['False', 'True']",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.949367088607595
ASQA-top5-76,Gemma3-12B,probe_verdict,4005,3649,0.9111111111111111,0.8257659994038956,"['NO', 'NOT_SURE', 'YES']",,,,
ASQA-top5-76,Phi4-14B,response,152,146,0.9605263157894737,0.9200561009817672,"['False', 'True']",0.9210526315789473,0.9268292682926829,0.9473684210526315,0.949367088607595
ASQA-top5-76,Phi4-14B,probe_verdict,4005,3687,0.9205992509363295,0.842515683327911,"['NO', 'NOT_SURE', 'YES']",,,,
ASQA-top5-76,Independent-local-majority,response,152,144,0.9473684210526315,0.8945176960444134,"['False', 'True']",0.9473684210526315,0.948051948051948,0.9473684210526315,0.949367088607595
HaluEvalQA-3206-afterHuman,Gemma3-4B,response,6356,5658,0.8901825047199496,0.770750554328881,"['False', 'True']",0.7994021397105098,0.7672083257257623,0.8629641283826306,0.852797025519689
HaluEvalQA-3206-afterHuman,Gemma3-4B,probe_verdict,53430,40074,0.7500280741156654,0.5948637915120961,"['NO', 'NOT_SURE', 'YES']",,,,
HaluEvalQA-3206-afterHuman,Gemma3-12B,response,6356,5937,0.934078036500944,0.8640188031573064,"['False', 'True']",0.8366897419760856,0.8187216206776109,0.8629641283826306,0.852797025519689
HaluEvalQA-3206-afterHuman,Gemma3-12B,probe_verdict,53430,42825,0.8015160022459292,0.6986735007163583,"['NO', 'NOT_SURE', 'YES']",,,,
HaluEvalQA-3206-afterHuman,Phi4-14B,response,6356,6082,0.9568911264946507,0.9120373770334813,"['False', 'True']",0.8613908118313405,0.8520570948782537,0.8629641283826306,0.852797025519689
HaluEvalQA-3206-afterHuman,Phi4-14B,probe_verdict,53430,44683,0.8362904735167509,0.7356339040453052,"['NO', 'NOT_SURE', 'YES']",,,,
HaluEvalQA-3206-afterHuman,Independent-local-majority,response,6356,6041,0.9504405286343612,0.8980623839025996,"['False', 'True']",0.8467589679043424,0.8316626339440027,0.8629641283826306,0.852797025519689
