legacy_id,question,context,factoid,old_category,old_support,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,final_label_source,adjudicator_raw_atomicity,adjudicator_raw_question_relevance,adjudicator_raw_evidence_clarity,adjudicator_raw_evidence_relation,adjudicator_raw_primary_category,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category,final_support_binary,final_eligibility,legacy_action,changed_dimensions
1,A well-endowed parish church in the Episcopal Diocese of New York was the first tallest building in New York over a building that was demolished in what year?," It was 260 ft tall and when new the second-tallest building in New York, after Trinity Church. It was demolished in 1966.Trinity Church is an historic, active, well-endowed parish church in the Episcopal Diocese of New York.",Trinity Church was the first tallest building in New York.,Cat5,UNSUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat5,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat5,THIRD_PERSON_ADJUDICATION,PASS,PASS,CLEAR,ENTAILED,Cat5,PASS,PASS,CLEAR,ENTAILED,Cat5,SUPPORTED,ELIGIBLE,RELABEL,SUPPORT
2,"According to the text, how many accepted species represent the botanical genus Ochagavia?"," The species Cardwellia sublimis (northern silky oak) grows naturally only (endemic) in the rainforests of the wet tropics region of north eastern Queensland, Australia.Ochagavia is a genus of the botanical family Bromeliaceae, subfamily Bromelioideae. The genus is named for Sylvestris Ochagavia, Chilean minister of education. Endemic to southern and central Chile (including the Juan Fernández Islands), this genus is represented by four accepted species.",4,Cat6,SUPPORTED,FAIL,PASS,CLEAR,ENTAILED,INVALID,FAIL,PASS,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,FAIL,PASS,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
3,"Where did the Navy Reserve Unit that is headquartered at Port Hueneme, CA get its nickname?","Naval Mobile Construction Battalion 25 or NMCB 25 is a Navy Reserve Seabee unit that is headquartered at Port Hueneme, CA. Their nickname is a heterograph of the first initials ""C.B."" from the words Construction Battalion.","The first initials ""C.B."" are from the words Construction Battalion.",Cat1,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
4,"When was was an English author, best known for his books about the teddy bear Winnie-the-Pooh only mystery novel published?","The Red House Mystery is a ""locked room"" whodunnit by A. A. Milne, published in 1922. It was Milne's only mystery novel.Alan Alexander Milne ( ; 18 January 1882 – 31 January 1956) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various poems.",The year is 1922.,Cat4,SUPPORTED,FAIL,PASS,CLEAR,ENTAILED,INVALID,PASS,PASS,CLEAR,ENTAILED,Cat4,THIRD_PERSON_ADJUDICATION,PASS,PASS,CLEAR,ENTAILED,Cat4,PASS,PASS,CLEAR,ENTAILED,Cat4,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
5,Lucy Elizabeth Fry played the lead in a television series that follows Eve who is a 19-year-old what?,"Lucy Elizabeth Fry (born 13 March 1992) is an Australian actress. Fry was also cast in Hulu's eight part miniseries ""11.22.63"" as Marina Oswald, wife of Lee Harvey Oswald, and played the lead in the 2016 Australian horror television series ""Wolf Creek"".Wolf Creek is a 2016 Australian horror web television series which screens on Stan. It is a spin-off of the movies ""Wolf Creek"" and ""Wolf Creek 2"" and follows Eve, a 19-year-old American tourist, who is targeted by crazed serial killer Mick Taylor, survives his attack and embarks on a mission of revenge.",Eve is a 19-year-old werewolf hunter.,Cat6,UNSUPPORTED,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,THIRD_PERSON_ADJUDICATION,PASS,PASS,CLEAR,CONTRADICTED,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY
6,What power ballad by the British-American rock band Foreigner was also in the Agent Provocateur album?," Although album sales were lower than their previous work in the U.S., it contains the band's biggest hit single, ""I Want to Know What Love Is"", which is their only #1 single in the UK and the U.S., staying at the top spot for three and two weeks respectively.""I Want to Know What Love Is"" is a power ballad by the British-American rock band Foreigner.","""I Want to Know What Love Is"" was not in the Agent Provocateur album.",Cat2,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat2,PASS,PASS,CLEAR,CONTRADICTED,Cat2,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat2,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
7,The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?,"In Love and War (1987) is a Vietnam war-based thriller/drama television film starring James Woods and Jane Alexander. The film is based on the true story of James Stockdale and Sybil Stockdale.James Bond Stockdale (December 23, 1923July 5, 2005) was a United States Navy vice admiral and aviator awarded the Medal of Honor in the Vietnam War, during which he was an American prisoner of war for over seven years.",The Medal of Honor is awarded for acts of valor above and beyond the call of duty.,Cat1,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
8,What was the original name of the gazette that publishes Lytham St Annes Express?," It is published by the Blackpool Gazette and therefore owned by Johnson Press. It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",The West Lancashire Evening Gazette is a multi-objective ecosystem advertiser.,Cat1,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,FAIL,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FALL,CLEAR,CONTRADICTED,Cat1,PASS,FAIL,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
9,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?," It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.",Apple TV is not a television set.,Cat2,UNSUPPORTED,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat2,THIRD_PERSON_ADJUDICATION,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
10,"Abraham Bankier was one of the owners of the Rekord factory that was taken over by a German Industrialist, spy, and member of the Nazi Party who is credited with saving how many Jews during the Holocaust?","Abraham Bankier (1910-1956) was one of the owners of the ""Rekord"" factory on Lipowa street in Cracow, Poland, that Oskar Schindler took over during World War II.Oskar Schindler (28 April 1908 – 9 October 1974) was a German industrialist, spy, and member of the Nazi Party who is credited with saving the lives of 1,200 Jews during the Holocaust by employing them in his enamelware and ammunitions factories, which were located in occupied Poland and the Protectorate of Bohemia and Moravia.",Abraham Bankier was one of the owners of the Rekord factory.,Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,FAIL,CLEAR,ENTAILED,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FALL,CLEAR,ENTAILED,Cat1,PASS,FAIL,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
