legacy_id,question,context,factoid,disagreement_fields,disagreement_count,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,A_secondary_tags,A_confidence,A_evidence_span,A_comment,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,B_confidence,B_evidence_span,B_comment,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category
1,A well-endowed parish church in the Episcopal Diocese of New York was the first tallest building in New York over a building that was demolished in what year?," It was 260 ft tall and when new the second-tallest building in New York, after Trinity Church. It was demolished in 1966.Trinity Church is an historic, active, well-endowed parish church in the Episcopal Diocese of New York.",Trinity Church was the first tallest building in New York.,evidence_clarity;evidence_relation,2,PASS,PASS,CLEAR,ENTAILED,Cat5,Cat1,medium,"It was demolished in 1966.Trinity Church is an historic, active, well-endowed parish church in the Episcopal Diocese of New York.",Comparative/superlative claim; context places the building second after Trinity Church.,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat5,MEDIUM,"It was 260 ft tall and when new the second-tallest building in New York, after Trinity Church. || It was demolished in 1966.Trinity Church is an historic, active, well-endowed parish church in the Episcopal Diocese of New York.","Primary operation: comparison, ranking, relative magnitude, or superlative.",PASS,PASS,CLEAR,ENTAILED,Cat5
4,"When was was an English author, best known for his books about the teddy bear Winnie-the-Pooh only mystery novel published?","The Red House Mystery is a ""locked room"" whodunnit by A. A. Milne, published in 1922. It was Milne's only mystery novel.Alan Alexander Milne ( ; 18 January 1882 – 31 January 1956) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various poems.",The year is 1922.,atomicity;primary_category,2,FAIL,PASS,CLEAR,ENTAILED,INVALID,Cat4,high,"It was Milne's only mystery novel.Alan Alexander Milne ( ; 18 January 1882 – 31 January 1956) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various poems.",The subject of 'The year is 1922' is not standalone.,PASS,PASS,CLEAR,ENTAILED,Cat4,HIGH,"Milne, published in 1922. || It was Milne's only mystery novel.Alan Alexander Milne ( ; 18 January 1882 ‚Ä?31 January 1956) was an English author, best known for his books about the teddy bear Winnie-the-Pooh and for various poems.","Primary operation: date, duration, temporal position, or event sequence.",PASS,PASS,CLEAR,ENTAILED,Cat4
5,Lucy Elizabeth Fry played the lead in a television series that follows Eve who is a 19-year-old what?,"Lucy Elizabeth Fry (born 13 March 1992) is an Australian actress. Fry was also cast in Hulu's eight part miniseries ""11.22.63"" as Marina Oswald, wife of Lee Harvey Oswald, and played the lead in the 2016 Australian horror television series ""Wolf Creek"".Wolf Creek is a 2016 Australian horror web television series which screens on Stan. It is a spin-off of the movies ""Wolf Creek"" and ""Wolf Creek 2"" and follows Eve, a 19-year-old American tourist, who is targeted by crazed serial killer Mick Taylor, survives his attack and embarks on a mission of revenge.",Eve is a 19-year-old werewolf hunter.,evidence_relation,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat1,Cat4,medium,"It is a spin-off of the movies ""Wolf Creek"" and ""Wolf Creek 2"" and follows Eve, a 19-year-old American tourist, who is targeted by crazed serial killer Mick Taylor, survives his attack and embarks on a mission of revenge.",Core claim is Eve's identity/attribute; the context calls her an American tourist but does not explicitly exclude other roles.,PASS,PASS,CLEAR,CONTRADICTED,Cat1,HIGH,"Fry was also cast in Hulu's eight part miniseries ""11.22.63"" as Marina Oswald, wife of Lee Harvey Oswald, and played the lead in the 2016 Australian horror television series ""Wolf Creek"".Wolf Creek is a 2016 Australian horror web television series which screens on Stan. || It is a spin-off of the movies ""Wolf Creek"" and ""Wolf Creek 2"" and follows Eve, a 19-year-old American tourist, who is targeted by crazed serial killer Mick Taylor, survives his attack and embarks on a mission of revenge.",The age is incidental; verification turns on Eve's stated identity/role.,PASS,PASS,CLEAR,CONTRADICTED,Cat1
8,What was the original name of the gazette that publishes Lytham St Annes Express?," It is published by the Blackpool Gazette and therefore owned by Johnson Press. It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",The West Lancashire Evening Gazette is a multi-objective ecosystem advertiser.,atomicity;evidence_clarity,2,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",Ancillary description of the answer entity; not responsive to the question and unsupported.,FAIL,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,HIGH,"It is published by the Blackpool Gazette and therefore owned by Johnson Press. || It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",INVALID: Malformed and unrelated proposition.,PASS,FAIL,CLEAR,CONTRADICTED,Cat1
9,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?," It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.",Apple TV is not a television set.,evidence_clarity,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,Cat1,medium,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc.","Relevant negative device-type claim, but the context does not explicitly state it is not a television set.",PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat2,MEDIUM,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. || It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.","Primary operation: negation, exclusion, exception, or proposition polarity.",PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2
10,"Abraham Bankier was one of the owners of the Rekord factory that was taken over by a German Industrialist, spy, and member of the Nazi Party who is credited with saving how many Jews during the Holocaust?","Abraham Bankier (1910-1956) was one of the owners of the ""Rekord"" factory on Lipowa street in Cracow, Poland, that Oskar Schindler took over during World War II.Oskar Schindler (28 April 1908 – 9 October 1974) was a German industrialist, spy, and member of the Nazi Party who is credited with saving the lives of 1,200 Jews during the Holocaust by employing them in his enamelware and ammunitions factories, which were located in occupied Poland and the Protectorate of Bohemia and Moravia.",Abraham Bankier was one of the owners of the Rekord factory.,question_relevance;primary_category,2,PASS,PASS,CLEAR,ENTAILED,Cat1,,high,"Abraham Bankier (1910-1956) was one of the owners of the ""Rekord"" factory on Lipowa street in Cracow, Poland, that Oskar Schindler took over during World War II.Oskar Schindler (28 April 1908 – 9 October 1974) was a German industrialist, spy, and member of the Nazi Party who is credited with saving ",Direct one-step ownership relation used in the question.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"Abraham Bankier (1910-1956) was one of the owners of the ""Rekord"" factory on Lipowa street in Cracow, Poland, that Oskar Schindler took over during World War II.Oskar Schindler (28 April 1908 ‚Ä?9 October 1974) was a German industrialist, spy, and member of the Nazi Party who is credited with saving ",INVALID: Does not answer the requested number of people saved.,PASS,FAIL,CLEAR,ENTAILED,Cat1
23,"Lee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama filmLee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama film, Mulberry, based on the eponymous classic story, by who?"," One of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include Bae Chang-ho's ""Whale Hunting"" and ""The Winter That Year Was Warm"", Lee Doo-yong's ""Mulberry"" and ""Eunuch"", and Kwak Ji-kyoon's ""Wanderer in Winter"". Based on the eponymous classic story by Na Do-hyang, the film became known for its erotic subject matter, made possible by the government's gradual relaxation of censorship and control over the film industry during the 1980s.","The director of ""Mulberry"" is not specified.",evidence_relation,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat2,medium,"One of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include Bae Chang-ho's ""Whale Hunting"" and ""The Winter That Year Was Warm"", Lee Doo-yong's ""Mulberry"" and ""Eunuch"", and Kwak Ji-kyoon's ""Wanderer in Winter"".",The statement about the director being unspecified does not answer the question and is not explicitly supported.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,HIGH,"One of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include Bae Chang-ho's ""Whale Hunting"" and ""The Winter That Year Was Warm"", Lee Doo-yong's ""Mulberry"" and ""Eunuch"", and Kwak Ji-kyoon's ""Wanderer in Winter"". || Based on the eponymous classic story by Na Do-hyang, the film became known for its erotic subject matter, made possible by the government's gradual relaxation of censorship and control over the film industry during the 1980s.",INVALID: Does not answer who wrote the source story.,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID
25,"What is the name of the magazine that Funk & Wagnalls published thateventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion""? "," Funk & Wagnalls Company published The Literary Digest, ""The Standard Dictionary of the English Language"", and ""Funk & Wagnalls Standard Encyclopedia"", Founded by Isaac Kaufmann Funk in 1890, it eventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion"".","The magazine merged with ""Current Opinion"".",question_relevance;primary_category,2,PASS,PASS,CLEAR,ENTAILED,Cat1,,high,"Funk & Wagnalls Company published The Literary Digest, ""The Standard Dictionary of the English Language"", and ""Funk & Wagnalls Standard Encyclopedia"", Founded by Isaac Kaufmann Funk in 1890, it eventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion"".",Direct relation used to identify the magazine in the question.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"Funk & Wagnalls Company published The Literary Digest, ""The Standard Dictionary of the English Language"", and ""Funk & Wagnalls Standard Encyclopedia"", Founded by Isaac Kaufmann Funk in 1890, it eventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion"".",INVALID: Does not identify the magazine by name.,PASS,FAIL,CLEAR,ENTAILED,Cat1
28,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?," It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.",Apple TV is not a stand-alone display device.,evidence_clarity;evidence_relation,2,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,Cat1,medium,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc.","Relevant negative device-property claim, but the context does not explicitly assert it.",PASS,PASS,AMBIGUOUS,ENTAILED,Cat2,MEDIUM,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. || It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.","Primary operation: negation, exclusion, exception, or proposition polarity.",PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2
34,Where did the brown v board of education take place?,"Brown v. Board of Education National Historic Site ""Brown v. Board of Education"" National Historic Site was established in Topeka, Kansas, on October 26, 1992, by the United States Congress to commemorate the landmark U.S. Supreme Court decision aimed at ending racial segregation in public schools. On May 17, 1954, the Supreme Court unanimously declared that ""separate educational facilities are inherently unequal"" and, as such, violated the 14th Amendment to the United States Constitution, which guarantees all citizens ""equal protection of the laws."" The site consists of the Monroe Elementary School, one of the four segregated elementary schools for African

Brown v. Board of Education Brown v. Board of Education of Topeka, 347 U.S. 483 (1954), was a landmark United States Supreme Court case in which the Court declared state laws establishing separate public schools for black and white students to be unconstitutional. The decision effectively overturned the ""Plessy v. Ferguson"" decision of 1896, which allowed state-sponsored segregation, insofar as it applied to public education. Handed down on May 17, 1954, the Warren Court's unanimous (9–0) decision stated that ""separate educational facilities are inherently unequal."" As a result, ""de jure"" racial segregation was ruled a violation of the Equal Protection

Jones, Lance Newman, and Gloria Thompson. The U.S. Supreme Court's ruling in 1954, ""Brown v. Board of Education of Topeka"", Kansas had struck down the previous ruling on racial segregation ""Plessy v. Ferguson"" that held that facilities could be racially ""separate but equal."" ""Brown v. Board of Education"" ruled that ""racially separate educational facilities were inherently unequal."" The elected Arlington County School Board presumed that the state would defer to localities and in January 1956 announced plans to integrate Arlington schools. The state responded by suspending the county's right to an elected school board. The Arlington County Board, the ruling","Brown v. Board of Education of Topeka, KS, was handed down on May 17, 1954.",question_relevance;primary_category,2,PASS,PASS,CLEAR,ENTAILED,Cat4,Cat1,medium,"Handed down on May 17, 1954, the Warren Court's unanimous (9–0) decision stated that ""separate educational facilities are inherently unequal."" As a result, ""de jure"" racial segregation was ruled a violation of the Equal Protection",Factoid includes the case/location identifier and a supported hand-down date.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"Handed down on May 17, 1954, the Warren Court's unanimous (9‚Ä?) decision stated that ""separate educational facilities are inherently unequal."" As a result, ""de jure"" racial segregation was ruled a violation of the Equal Protection Jones, Lance Newman, and Gloria Thompson. || Board of Education of Topeka"", Kansas had struck down the previous ruling on racial segregation ""Plessy v.",INVALID: Provides a date rather than the requested place.,PASS,FAIL,CLEAR,ENTAILED,Cat4
